Rank,Song,Artist,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,YTD Audio
173,The Nutcracker  - Suite Op. 71,Bonn Classical Philharmonics,,29,176,152,204,"7,655,668"
174,"You'Re A Mean One, Mr. Grinch","Tyler, The Creator",COL ,27,175,150,62,"7,641,780"
175,This Christmas,Chris Brown,RCA,43,173,178,209,"7,616,130"
176,Driving Home for Christmas,Chris Rea,CLP ,146,174,183,12,"7,582,009"
177,Light of the World,Lauren Daigle,CNTR,30,179,168,200,"7,525,736"
178,Silent Night,Frank Sinatra,ORCH,168,177,190,10,"7,517,382"
179,The Little Drummer Boy,"Simeone, Harry Chorale",ORCH,158,178,185,17,"7,442,986"
180,I Want a Hippopotamus for Christmas,Gayla Peevey,CLP ,89,182,177,164,"7,348,320"
181,The Christmas Song,Lauren Daigle,CNTR,5,181,169,56,"7,336,014"
182,Have Yourself a Merry Little Christmas,Christina Aguilera,CAP,144,180,182,22,"7,326,033"
183,All I Want For Christmas Is You (SuperFestive!),Justin Bieber & Mariah Carey,DEF ,58,183,171,207,"7,256,063"
184,Oh Little Town Of Bethlehem,Elvis Presley,ORCH,167,184,,8,"7,197,518"
185,Sleighride,Andy Williams,COL ,133,185,188,17,"7,105,688"
186,Up On The Housetop,Gene Autry,CDBY,184,189,200,7,"7,081,523"
187,Drummer Boy,Justin Bieber,DEF ,33,186,172,209,"7,078,482"
188,Peace On Earth/Little Drummer Boy,David Bowie & Bing Crosby,CAP ,188,188,199,3,"7,076,687"
189,Winter Wonderland,Michael Buble,WAR ,160,187,184,14,"7,057,186"
190,God Rest Ye Merry Gentlemen,Bing Crosby,GEFN,119,190,193,19,"7,010,790"
191,Santa Baby,Kylie Minogue,WAR ,183,191,195,6,"6,974,386"
192,K For Christmas,Lil Mosey,INT ,7,192,143,52,"6,962,394"
193,Christmas Is Coming,Vince Guaraldi Trio,FAN ,106,195,191,147,"6,961,196"
194,Dominick the Donkey,Lou Monte,UME,148,193,196,21,"6,938,412"
195,Happy Xmas (War Is Over),Celine Dion,COL ,189,194,189,4,"6,880,391"
196,All I Want For Christmas Is You (Extra Festive),Mariah Carey,DEF ,164,196,194,9,"6,821,541"
197,Silent Night,Temptations,MOT ,105,197,,207,"6,757,811"
198,Hallelujah,Brett Young,BMX ,12,198,148,61,"6,689,222"
199,Thank God It's Christmas,Queen,HOL,177,199,,5,"6,681,474"
200,Silent Night,Carpenters,UM3,137,200,,16,"6,632,373"
